Close,Adj Close
45.515598,28.789474
45.734299,28.927799
45.5625,28.819139
45.484299,28.769669
45.671799,28.888266
45.796799,28.967331
45.828098,28.987123
45.875,29.016787
45.8125,28.97727
46.015598,29.105715
45.9687,29.076061
46.234299,29.244059
46.2187,29.234194
46.1562,29.194656
45.7812,28.957468
46.0312,29.115591
46.109299,29.164997
46.171799,29.204519
46.5312,29.431849
46.3437,29.313261
46.4375,29.372601
45.875,29.208622
45.484299,28.959875
45.0937,28.711184
45.265598,28.820635
45,28.651529
44.0625,28.054626
44.828098,28.542068
44.609299,28.402756
44.75,28.492355
44.4687,28.313248
44.5625,28.372967
44.796799,28.522154
44.734299,28.482359
44.921799,28.601736
44.9062,28.591806
44.75,28.492355
44.8125,28.532143
44.890598,28.581869
45.375,28.89028
45.390598,28.900208
45.4687,28.949942
45.375,28.89028
45.171799,28.760914
45.265598,28.820635
45.3437,28.870346
45.4062,28.910152
45.359299,28.880293
45.359299,28.880293
45.453098,28.940008
45.9062,29.228508
46.125,29.367805
46.1875,29.407621
46.203098,29.417532
45.9375,29.248432
45.7812,29.148912
45.890598,29.218563
45.9687,29.268295
46.140598,29.377747
45.9687,29.268295
46.328098,29.497122
46.3125,29.487204
46.640598,29.696087
46.609299,29.676157
46.453098,29.57671
46.421799,29.556799
46.375,29.526989
46.640598,29.696087
47.140598,30.014435
47.015598,29.934864
47.6875,30.362654
47.6562,30.342737
47.7812,30.422327
47.6562,30.342737
47.5,30.243265
47.296799,30.113899
47.3125,30.123903
47.265598,30.09403
47.5,30.243265
47,29.924931
46.859299,29.835335
47,29.924931
47.046799,29.954708
47.640598,30.332792
47.015598,30.11693
47.0625,30.146976
46.171799,29.576401
46.171799,29.576401
46.0625,29.506371
45.9062,29.406279
46.140598,29.556421
46.109299,29.536375
46.4687,29.76659
46.234299,29.616438
46.171799,29.576401
46.0625,29.506371
45.375,29.06599
45.390598,29.075983
45.25,28.985937
45.453098,29.116022
45.9375,29.426317
46.625,29.866726
46.6875,29.906746
46.8437,30.006811
47.046799,30.136908
46.953098,30.076881
46.8437,30.006811
47.0625,30.146976
46.75,29.946787
46.5625,29.826674
46.171799,29.576401
46.2187,29.606451
46.390598,29.716574
46.671799,29.896702
47.6562,30.527285
47.484299,30.41717
46.953098,30.076881
46.6875,29.906746
46.9375,30.066877
46.328098,29.676529
46.4687,29.76659
46.828098,29.996815
46.9062,30.046848
46.578098,29.836672
46.4062,29.726572
46.8437,30.006811
46.6875,29.906746
46.8437,30.006811
46.5312,29.806625
46.4687,29.76659
46,29.46637
45,28.825785
45.25,28.985937
45.4687,29.126022
45.671799,29.256121
45.6562,29.24614
45.5937,29.206087
45.140598,28.915848
45.5625,29.18611
45.609299,29.216085
45.640598,29.23613
45.3125,29.025953
44.875,28.745712
45.046799,28.855757
45.3437,29.045938
45.515598,29.156069
45.75,29.306219
45.890598,29.396275
45.75,29.539883
45.8125,29.580236
45.671799,29.489389
46.1562,29.802158
46.015598,29.711357
46.0625,29.741627
46.3125,29.903076
46.078098,29.75173
46.109299,29.771873
45.5625,29.418818
45.7812,29.560026
46,29.701303
46,29.701303
46.046799,29.731508
46.0937,29.761803
46.140598,29.792082
46.171799,29.812222
46.1875,29.822374
46.734299,30.175426
47.015598,30.357061
47.0312,30.367126
46.984299,30.33684
46.7187,30.165342
46.546799,30.054361
46.6875,30.145197
46.75,30.185556
46.875,30.266281
46.921799,30.296488
47.109299,30.417551
46.9062,30.286415
47.0937,30.407475
47.078098,30.397404
47.359299,30.578974
48.0312,31.012798
48.234299,31.143938
48.296799,31.184307
48.296799,31.184307
48.296799,31.184307
48.359299,31.224655
48.375,31.234777
48.4375,31.275135
48.703098,31.446623
48.640598,31.406273
48.453098,31.285231
48.4375,31.275135
48.796799,31.507118
48.875,31.557634
49,31.638342
48.609299,31.386076
49.015598,31.648403
48.703098,31.446623
48.765598,31.486998
48.7812,31.497072
48.8125,31.517281
48.4375,31.275135
48.5625,31.35585
48.546799,31.345707
49.265598,31.80983
49.2187,31.779552
49.578098,32.011597
49.484299,31.951052
49.7812,32.142738
49.5625,32.174747
49.5625,32.174747
49.4375,32.093601
49.484299,32.123985
49.515598,32.144299
50.2187,32.600735
50.421799,32.732586
