Close,Net Chg,Open,High,Low,Tick Count,Volume
133.52,0.61,132.92,133.56,132.76,105730,51071890
135.55,2.03,134.54,135.69,134.4,172314,98157394
136.19,0.64,135.55,136.5,135.16,97833,54224034
136.37,0.18,136.02,136.65,135.66,173132,92423697
136.41,0.04,136.37,136.82,136,101651,53179074
139.49,3.08,138.94,139.56,136.504,177190,107978514
138.96,-0.53,139.49,140.15,136.505,102522,66430963
138.48,-0.48,138.23,138.65,136.87,122732,61688729
138.78,0.3,138.49,138.98,138.13,79339,38439231
137.26,-1.52,138.19,138.37,136.64,167449,91106058
137.7,0.44,137.25,137.7,135.62,93378,46974529
137.68,-0.02,138.09,138.78,137.12,195423,112927059
137.9,0.22,137.68,138.16,137.45,89349,48147793
138.96,1.06,138.08,139.41,137.04,216474,126901934
138.78,-0.18,138.961,139.74,138.7,120052,70543639
138.492,-0.288,139.41,139.53,137.91,181553,103271461
139.75,1.258,138.5,141.81,138.29,105486,64134347
140.04,0.29,139.88,140.16,139.38,113126,59216067
139.62,-0.42,140.04,140.25,139.41,70573,35955656
139.21,-0.41,139.39,139.73,138.61,128935,71146255
139.04,-0.17,139.21,140.12,138.97,74156,53764676
139.7,0.66,139.29,139.93,139.24,98521,52087273
138.37,-1.33,139.7,140.59,138.35,204390,120082969
140.67,2.3,138.39,141,138.27,179610,107905077
140.93,0.26,140.67,141.02,140.24,106930,57039944
140.99,0.06,142.33,142.37,140.62,179634,99044308
141.34,0.35,141,141.43,140.56,108069,51634318
140.64,-0.7,141.05,141.61,140.41,124166,74343836
140.71,0.07,140.64,140.9,140.42,65227,32912903
141.52,0.81,140.01,141.77,139.69,162536,96223892
141.86,0.34,141.51,142.2,140.45,99798,58715990
140.88,-0.98,141.89,142.04,140.72,157092,75178360
139.28,-1.6,140.88,140.94,139.13,160375,92686311
140,0.72,139.74,140.07,138.98,189826,95968290
139.83,-0.17,140,140.32,138,107263,53042559
138.63,-1.2,138.6,139.39,138.45,178455,83110399
138.92,0.29,138.62,139.39,138.5,96486,46606259
139.708,0.788,139.25,140.13,138.73,158736,80759992
140.47,0.762,139.708,140.53,138,100997,50430736
140.21,-0.26,140.8,140.89,139.73,173736,90196669
140.41,0.2,140.2,140.78,140.15,84630,43757789
141.99,1.58,141.09,142.07,141.01,135889,78279627
140.98,-1.01,141.98,142.2,140.88,110122,70663177
141.71,0.73,141.04,141.92,140.83,170125,86072456
142.55,0.84,141.72,142.63,141.54,102518,58875317
142.23,-0.32,142.86,142.87,141.61,186757,116620384
142.673,0.443,142.23,142.8,141.97,97030,56833010
144.2,1.527,142.81,144.3,142.49,151583,82679164
142.84,-1.36,144.2,144.2,142.3,138694,68930427
141.72,-1.12,142.27,142.34,141.37,166763,86994366
141.65,-0.07,141.71,142,141,110957,61304448
141.09,-0.56,141.81,142.12,140.99,191610,104612668
139.31,-1.78,141.08,141.34,139,201733,118264300
139.66,0.35,139.43,140.16,139,169209,97448888
139.54,-0.12,139.65,140.17,138.21,102522,49759043
137.85,-1.69,139.05,139.2,137.57,192598,96996089
137.84,-0.01,137.84,139.663,137.6,101561,56393381
137.98,0.14,137.8,138.66,137.53,150099,80945776
138.74,0.76,137.98,139,137.87,100128,57127696
138.81,0.07,139.17,140,138,163244,85933638
139.37,0.56,138.81,139.37,138.23,105233,59560501
140.52,1.15,139.13,140.79,139.08,201700,98746197
140.03,-0.49,140.52,140.93,139.96,101342,54264908
