Last Price,Ask Price,Bid Price,UBB(2),BollMA (20),LBB(2),EMAVG (5),SMAVG (200),SPY US Equity - Volume,SMAVG (15),BollW (SPY US),%B (SPY US),"MACD(12,26)",Sig(9),Diff,RSI,Moving Average,SPX Index - Last Price,CBOE VIX index- Last Price
85.18,85.3,85.21,87.2049,84.7535,82.3021,84.6884,92.0446,60965300,46547760,5.7847,0.587,-1.1981,-1.4898,0.2917,46.7086,38.4776,848.17,30.25
83.8,83.56,83.47,86.99,84.6245,82.259,84.3923,91.9186,30703600,44906428,5.5905,0.3257,-1.1805,-1.428,0.2475,41.9025,38.5904,832.58,31.98
84.47,84.78,84.65,86.9393,84.588,82.2367,84.4182,91.8022,56927400,46048260,5.5594,0.4749,-1.0997,-1.3623,0.2626,44.8685,39.09,838.57,31.74
83.24,83.18,83.14,86.8072,84.4585,82.1098,84.0255,91.6898,37808200,45651300,5.5618,0.2406,-1.1221,-1.3143,0.1922,40.755,39.4016,827.55,31.94
84.34,84.45,84.35,86.5093,84.3515,82.1937,84.1303,91.5721,51834200,45419960,5.1162,0.4973,-1.0391,-1.2592,0.2202,45.5617,40.1368,837.28,30.53
84.9,84.88,84.86,86.5459,84.375,82.2041,84.3869,91.4455,43891400,44768428,5.1459,0.6209,-0.9175,-1.1909,0.2734,47.8801,41.236,841.15,29.63
84.09,84.03,83.82,86.3069,84.2765,82.2461,84.2879,91.317,42942600,44753252,4.8184,0.4541,-0.8764,-1.128,0.2516,44.9014,41.899,834.81,30.43
82.75,82.56,82.48,86.0271,84.1025,82.1779,83.7753,91.179,31481900,43820280,4.5769,0.1486,-0.9411,-1.0906,0.1495,40.4214,42.3609,821.99,31.83
83.45,83.63,83.5,85.8569,84.006,82.1551,83.6668,91.0417,44110700,43635168,4.4065,0.3498,-0.9253,-1.0575,0.1323,43.5878,43.3002,829.85,30.38
82.75,82.74,82.68,85.7864,83.901,82.0156,83.3612,90.907,41469400,44004492,4.4943,0.1948,-0.9581,-1.0377,0.0795,41.2281,43.9689,822.1,31.37
83.32,83.58,83.49,85.7284,83.8445,81.9606,83.3475,90.7801,63584700,44371908,4.4938,0.3608,-0.9275,-1.0156,0.0881,43.8918,44.1595,828.89,31.08
81.32,81.27,81.21,85.9175,83.7395,81.5615,82.6717,90.642,41077700,43137740,5.2018,-0.0554,-1.0525,-1.023,-0.0295,37.474,43.4366,807.48,33.31
80.52,82.2,80.56,86.1496,83.565,80.9804,81.9544,90.4941,48128900,43711200,6.1858,-0.0891,-1.2022,-1.0588,-0.1434,35.2535,42.6716,800.73,33.61
81.06,81.22,81.2,86.2528,83.4465,80.6402,81.6563,90.3559,62483800,45780688,6.726,0.0748,-1.2627,-1.0996,-0.1631,37.9272,42.3116,804.19,33.51
83.86,84.05,83.94,86.276,83.5345,80.793,82.3909,90.2347,72199000,48640588,6.5638,0.5594,-1.0724,-1.0942,0.0218,49.5585,42.5151,831.9,31.76
84.13,84.18,84.15,86.3206,83.6235,80.9263,82.9706,90.1189,63965400,48840592,6.4507,0.5939,-0.8895,-1.0532,0.1637,50.5213,43.1308,833.27,30.98
86.78,86.88,86.75,86.7787,83.755,80.7313,84.2404,90.0178,88316896,52681480,7.2203,1.0002,-0.5247,-0.9475,0.4228,58.8278,44.1279,862.79,31.75
87.29,87.36,86.99,87.1412,83.838,80.5348,85.2569,89.9181,51094700,52292632,7.88,1.0225,-0.1922,-0.7965,0.6042,60.2122,45.5177,866.45,30.43
87.96,88.33,88.25,87.7015,83.977,80.2525,86.1579,89.8361,49668600,53083328,8.8703,1.0347,0.1239,-0.6124,0.7363,62.019,46.6932,874.02,31.54
88.15,88.24,88.14,88.3133,84.168,80.0227,86.822,89.7537,67479696,54126360,9.8502,0.9803,0.3853,-0.4129,0.7982,62.5386,47.7402,875.67,30.44
89.67,89.96,89.85,89.1708,84.3925,79.6142,87.7713,89.674,71267000,55951400,11.3239,1.0522,0.707,-0.1889,0.8959,66.4879,49.2821,895.79,28.67
86.69,86.8,86.65,89.4087,84.537,79.6653,87.4109,89.5901,65434500,57450860,11.5257,0.721,0.7132,-0.0085,0.7217,54.3831,50.2794,864.23,30.39
87.52,87.71,87.61,89.7313,84.6895,79.6477,87.4473,89.511,61190500,59431432,11.9065,0.7807,0.7762,0.1485,0.6278,56.7452,51.2192,874.74,28.75
87.08,87.05,86.92,89.98,84.8815,79.783,87.3248,89.4277,45772400,59542212,12.0132,0.7156,0.7816,0.2751,0.5065,55.1159,52.2112,869.95,28.23
87.15,87.16,87.13,90.2072,85.022,79.8368,87.2666,89.3537,53294500,60330552,12.1973,0.7052,0.7825,0.3766,0.4059,55.3356,53.0286,868.52,27.96
86.71,86.36,86.2,90.349,85.1125,79.876,87.081,89.2743,32604600,58265212,12.3048,0.6525,0.7392,0.4491,0.2901,53.5607,54.1776,863.5,27.75
84.74,84.83,84.81,90.3637,85.145,79.9263,86.3007,89.1903,60802300,59580188,12.2584,0.4612,0.5397,0.4672,0.0725,46.3869,54.9729,848.18,29.15
86.04,86.23,86.21,90.4222,85.3095,80.1968,86.2138,89.1135,53914800,59965912,11.9862,0.5714,0.481,0.47,0.011,51.0465,55.9099,858.48,28.36
88.12,88.26,88.12,90.7208,85.543,80.3652,86.8492,89.0335,50507800,59167512,12.1058,0.7488,0.5954,0.4951,0.1003,57.4227,56.4717,880.9,28.02
87.7,87.82,87.59,90.8832,85.7905,80.6978,87.1328,88.9471,49028500,57622812,11.8723,0.6875,0.6447,0.525,0.1197,55.8411,56.8517,876.45,28.21
88.22,88.4,88.3,91.1006,86.0355,80.9704,87.4952,88.8756,36262500,55775952,11.7744,0.7156,0.7175,0.5635,0.154,57.4054,56.75,878.85,29.13
88.05,87.98,87.91,91.016,86.372,81.728,87.6801,88.8098,69833104,54543700,10.7534,0.6807,0.7528,0.6014,0.1515,56.6982,56.4991,879.93,28.45
88.19,88.2,88.13,90.6013,86.7555,82.9097,87.8501,88.7544,39753900,53787648,8.8658,0.6865,0.7831,0.6377,0.1454,57.1662,56.1524,878.29,27.13
87.03,87.08,87,89.8755,87.054,84.2325,87.5767,88.6905,55693900,54189332,6.4822,0.4957,0.7053,0.6512,0.0541,52.1386,55.4096,865.99,27.11
87.51,87.68,87.58,89.6508,87.2365,84.8222,87.5545,88.6403,42155800,52501072,5.5351,0.5566,0.6746,0.6559,0.0187,53.9436,54.5135,871.58,25.6
87.15,87.21,87.19,89.3392,87.3875,85.4358,87.4197,88.5874,47738800,50932528,4.4668,0.4392,0.6142,0.6476,-0.0334,52.349,54.3683,868.3,24.44
88.95,89.03,88.89,89.5397,87.496,85.4523,87.9298,88.535,36967900,49034752,4.6715,0.8557,0.7034,0.6587,0.0447,58.8921,54.5216,885.23,23.41
89.78,90.69,90.61,89.8897,87.6205,85.3513,88.5465,88.4891,49989400,48288012,5.1797,0.9758,0.8315,0.6933,0.1382,61.5163,54.9788,890.81,22.56
88.25,88.35,88.26,89.9164,87.635,85.3536,88.4477,88.4452,51820400,48691212,5.2066,0.6348,0.8004,0.7147,0.0857,54.5975,54.9261,879.91,22.52
89.56,89.63,89.56,90.1289,87.7055,85.2821,88.8185,88.4182,37487600,47637420,5.5263,0.8826,0.8714,0.746,0.1253,58.8636,55.3048,893.58,21.5
89.65,89.65,89.58,90.1247,87.7045,85.2843,89.0956,88.3889,32085800,47602832,5.519,0.9019,0.9242,0.7817,0.1425,59.1476,56.2163,892.01,21.95
